"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3254044216","PH-ZO-MHYKB-21606002","OPENED","2023-11-22T11:49:56.000+05:30","BAG",false,"2023-11-22T11:49:56.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3253623910","PH-B5-DELYKB-30561527","OPENED","2023-11-21T10:23:14.000+05:30","BAG",false,"2023-11-21T10:23:14.000+05:30"
"MathuraHub_MTH_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3254430798","PH-B5-DELYKB-30625087","OPENED","2023-11-22T11:29:45.000+05:30","BAG",false,"2023-11-22T11:29:45.000+05:30"
"PanipatHub_PPT_PL","MotherHub_YKB","MotherHub_YKB","ZO","MYEP1007178924","PH-ZO-DELYKB-30604103","OPENED","2023-11-22T04:01:36.000+05:30","BAG",false,"2023-11-22T04:01:36.000+05:30"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2020883541","PH-ZO-DELYKB-30656950","OPENED","2023-11-22T09:39:29.000+05:30","BAG",false,"2023-11-22T09:39:29.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3253145757","PH-B5-DELYKB-28795539","OPENED","2023-11-22T09:41:12.000+05:30","BAG",false,"2023-11-22T09:41:12.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3256552141","PH-ZO-DELYKB-30084313","OPENED","2023-11-21T23:55:40.000+05:30","BAG",false,"2023-11-21T23:55:40.000+05:30"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2019783684","PH-ZO-DELYKB-29215919","OPENED","2023-11-22T13:23:41.000+05:30","BAG",false,"2023-11-22T13:23:41.000+05:30"
"UttamNagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256894105","PH-B5-DELYKB-30646094","OPENED","2023-11-22T11:28:18.000+05:30","BAG",false,"2023-11-22T11:28:18.000+05:30"
"MathuraHub_MTH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3252814231","PH-ZO-DELYKB-30635950","OPENED","2023-11-22T13:29:21.000+05:30","BAG",false,"2023-11-22T13:29:21.000+05:30"
"HathrasHub_HTH_PL","MotherHub_BNL","MotherHub_YKB","B5","FMPC3256722204","PH-B5-DELYKB-30360267","REACHED","2023-11-22T15:18:05.000+05:30","BAG",true,"2023-11-22T15:18:05.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2020299523","PH-B5-DELYKB-30596282","OPENED","2023-11-22T09:48:56.000+05:30","BAG",false,"2023-11-22T09:48:56.000+05:30"
"MeerutHub_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2019793247","PH-B5-DELYKB-30665486","OPENED","2023-11-22T09:53:02.000+05:30","BAG",false,"2023-11-22T09:53:02.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2020498925","PH-B5-DELYKB-29955477","OPENED","2023-11-22T07:33:23.000+05:30","BAG",false,"2023-11-22T07:33:23.000+05:30"
"Chhatarpur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3254783702","PH-B5-DELYKB-30457825","OPENED","2023-11-22T11:35:48.000+05:30","BAG",false,"2023-11-22T11:35:48.000+05:30"
"SahibabadHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3251533316","PH-ZO-DELYKB-30429077","OPENED","2023-11-21T12:33:45.000+05:30","BAG",false,"2023-11-21T12:33:45.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3251737247","PH-B5-DELYKB-29673468","OPENED","2023-11-21T20:51:56.000+05:30","BAG",false,"2023-11-21T20:51:56.000+05:30"
"Pitampurahub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3253536537","PH-B5-DELYKB-30079010","OPENED","2023-11-21T07:47:37.000+05:30","BAG",false,"2023-11-21T07:47:37.000+05:30"
"HathrasHub_HTH_PL","MotherHub_BNL","MotherHub_YKB","B5","FMPP2020833703","PH-B5-DELYKB-30360267","REACHED","2023-11-22T15:18:05.000+05:30","BAG",true,"2023-11-22T15:18:05.000+05:30"
"HathrasHub_HTH_PL","MotherHub_BNL","MotherHub_YKB","B5","FMPP2020298618","PH-B5-DELYKB-30360267","REACHED","2023-11-22T15:18:05.000+05:30","BAG",true,"2023-11-22T15:18:05.000+05:30"
"IPextension_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2015168118","PH-ZO-DELYKB-30452712","OPENED","2023-11-21T12:40:47.000+05:30","BAG",false,"2023-11-21T12:40:47.000+05:30"
"HathrasHub_HTH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3254088426","PH-ZO-DELYKB-30542750","OPENED","2023-11-21T19:42:04.000+05:30","BAG",false,"2023-11-21T19:42:04.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3255610382","PH-ZO-DELYKB-30640184","OPENED","2023-11-22T13:04:25.000+05:30","BAG",false,"2023-11-22T13:04:25.000+05:30"
"AgraHub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3250029585","PH-ZO-DELYKB-30441031","REACHED","2023-11-21T10:19:07.000+05:30","BAG",true,"2023-11-21T10:19:07.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3249707943","PH-ZO-DELYKB-28797036","OPENED","2023-11-22T15:58:08.000+05:30","BAG",false,"2023-11-22T15:58:08.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3256595808","PH-ZO-DELYKB-30404590","OPENED","2023-11-22T13:11:05.000+05:30","BAG",false,"2023-11-22T13:11:05.000+05:30"
"PaharganjHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2019834218","PH-ZO-DELYKB-30605235","OPENED","2023-11-22T07:58:51.000+05:30","BAG",false,"2023-11-22T07:58:51.000+05:30"
"MundkaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256616989","PH-B5-DELYKB-30641999","OPENED","2023-11-22T02:01:12.000+05:30","BAG",false,"2023-11-22T02:01:12.000+05:30"
"Rohinihub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3252071961","PH-B5-DELYKB-30583130","OPENED","2023-11-21T10:15:40.000+05:30","BAG",false,"2023-11-21T10:15:40.000+05:30"
"GwaliorHub_GWL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3250170151","PH-B5-DELYKB-30600052","OPENED","2023-11-21T22:40:32.000+05:30","BAG",false,"2023-11-21T22:40:32.000+05:30"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2020556238","PH-B5-DELYKB-30639597","OPENED","2023-11-22T09:41:43.000+05:30","BAG",false,"2023-11-22T09:41:43.000+05:30"
"DasnaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3256036123","PH-ZO-DELYKB-30609740","OPENED","2023-11-22T12:08:33.000+05:30","BAG",false,"2023-11-22T12:08:33.000+05:30"
"BhiwadiHub_DHR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3247610332","PH-ZO-DELYKB-30561031","OPENED","2023-11-22T00:29:37.000+05:30","BAG",false,"2023-11-22T00:29:37.000+05:30"
