"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id","tracking_id_ekart","bag_type_ph","bag_receive_time","fact_updated_at","bag_facility_source_name","shipment_facility_source_name","shipment_cpd"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00","SI1405132","EGURJJH-2897372","STOC9000500123","","2023-11-26T10:04:16.000+05:30","2023-11-26T10:04:28.000+05:30","SonepatHub_SOP","MotherHub_FRK","2023-12-01T14:37:48.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","A-64348104009293148","EAHDABD-2647837-1276","FMPC3249216656","","2023-11-26T08:18:40.000+05:30","2023-11-26T08:18:45.000+05:30","Motherhub_VNI","Motherhub_ABD","2023-11-26T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","G-36249671905665995","EAMDADI-1497841","FMPC3244560701","","2023-11-26T08:20:03.000+05:30","2023-11-26T08:20:13.000+05:30","Motherhub_VNI","Motherhub_ABD","2023-11-24T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","A-75085803493067885","EGURJJH-2885855","FMPC3257089011","","2023-11-26T13:05:42.000+05:30","2023-11-26T13:05:47.000+05:30","IdentifyPlusAtrauliMDH_ATL","Motherhub_JKS","2023-11-25T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","D-16054639416577199","EDELJKS-665012298","FMPP2001813044","","2023-11-26T12:55:06.000+05:30","2023-11-26T12:55:14.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JAI_BTS","2023-11-16T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","A-34675122659242259","EDELJKS-665012298","FMPC3192436669","","2023-11-26T12:55:06.000+05:30","2023-11-26T12:55:14.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-11-02T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00","D-72477135822717251","EINDIDO-2007520-1332","FMPC3247245647","","2023-11-26T07:56:19.000+05:30","2023-11-26T07:56:28.000+05:30","Motherhub_VNI","MotherHub_IDO","2023-11-24T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","D-34176452471704105","EDELJKS-665012298","FMPC3175774088","","2023-11-26T12:55:06.000+05:30","2023-11-26T12:55:14.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-10-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-566440926","EGURJJH-2903929","FMPR0513538320","","2023-11-26T12:54:20.000+05:30","2023-11-26T12:54:30.000+05:30","KwarsiHighwayHub_ALG","AligarhHub_ALG","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","SLP4108285191","EAHDABD-2648730-1276","SDLC1026028594","","2023-11-26T08:22:13.000+05:30","2023-11-26T08:22:17.000+05:30","Motherhub_VNI","Motherhub_ABD","2023-11-25T16:26:04.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","F-36916318438636270","EGURJJH-2897372","FMPP2022061404","","2023-11-26T10:04:16.000+05:30","2023-11-26T10:04:28.000+05:30","SonepatHub_SOP","Motherhub_JKS","2023-11-25T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","E-16230786437525292","EAHDABD-2647844-1277","FMPC3230920370","","2023-11-26T08:23:02.000+05:30","2023-11-26T08:23:08.000+05:30","Motherhub_VNI","Motherhub_ABD","2023-11-20T02:59:59.000+05:30"
